,Vocabulary size,Train accuracy,Validation accuracy,Validation FPR
0,500,92.7625,92.375,"(1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856, 1888, 1807, 193, 112, 0.9072561268620856)"
1,1000,94.46666666666667,93.975,"(1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254, 1921, 1838, 162, 79, 0.9222275564090254)"
2,1500,95.5,94.975,"(1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911, 1936, 1863, 137, 64, 0.9339122045344911)"
3,2000,95.9375,95.175,"(1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256, 1936, 1871, 129, 64, 0.9375302663438256)"
4,2500,96.27083333333334,95.625,"(1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565, 1942, 1883, 117, 58, 0.9431762991743565)"
