,Iterations,Validation accuracy,Validation FPR
0,1000,95.1,7.7
1,2000,96.55,5.3000000000000003
2,3000,96.575,4.29
3,4000,96.525,3.4000000000000004
4,5000,96.5,3.45
5,6000,96.5,3.45
6,7000,96.475,3.45
7,8000,96.5,3.45
8,9000,96.55,3.40
9,10000,96.55,3.40
10,11000,96.525,3.54
11,12000,96.5,3.54
12,13000,96.5,3.54
13,14000,96.45,3.54
14,15000,96.475,3.35
15,16000,96.475,3.35
16,17000,96.475,3.35
17,18000,96.45,3.4000000000000004
18,19000,96.45,3.4000000000000004
19,20000,96.45,3.4000000000000004
20,21000,96.45,3.4000000000000004
21,22000,96.5,3.35
22,23000,96.5,3.35
23,24000,96.525,3.35
24,25000,96.525,3.35
25,26000,96.55,3.35
26,27000,96.5,3.4000000000000004
27,28000,96.475,3.45
28,29000,96.475,3.45
29,30000,96.475,3.45
30,31000,96.475,3.45
31,32000,96.475,3.4000000000000004
32,33000,96.475,3.4000000000000004
33,34000,96.475,3.4000000000000004
34,35000,96.475,3.4000000000000004
35,36000,96.475,3.4000000000000004
36,37000,96.475,3.4000000000000004
37,38000,96.475,3.4000000000000004
38,39000,96.475,3.4000000000000004
39,40000,96.475,3.4000000000000004
40,41000,96.475,3.4000000000000004
41,42000,96.475,3.4000000000000004
42,43000,96.475,3.4000000000000004
43,44000,96.475,3.4000000000000004
44,45000,96.475,3.4000000000000004
45,46000,96.475,3.4000000000000004
46,47000,96.475,3.4000000000000004
47,48000,96.475,3.4000000000000004
48,49000,96.45,3.45
49,50000,96.45,3.45
50,51000,96.42500000000001,3.5000000000000004
51,52000,96.42500000000001,3.5000000000000004
52,53000,96.42500000000001,3.5000000000000004
53,54000,96.42500000000001,3.5000000000000004
54,55000,96.39999999999999,3.55
55,56000,96.39999999999999,3.55
56,57000,96.39999999999999,3.55
57,58000,96.39999999999999,3.55
58,59000,96.39999999999999,3.55
59,60000,96.39999999999999,3.55
60,61000,96.39999999999999,3.55
61,62000,96.39999999999999,3.55
62,63000,96.39999999999999,3.55
63,64000,96.39999999999999,3.55
64,65000,96.39999999999999,3.55
65,66000,96.35000000000001,3.55
66,67000,96.39999999999999,3.5000000000000004
67,68000,96.39999999999999,3.5000000000000004
68,69000,96.39999999999999,3.5000000000000004
69,70000,96.39999999999999,3.5000000000000004
70,71000,96.375,3.5000000000000004
71,72000,96.375,3.5000000000000004
72,73000,96.375,3.5000000000000004
73,74000,96.375,3.5000000000000004
74,75000,96.375,3.5000000000000004
75,76000,96.375,3.5000000000000004
76,77000,96.375,3.5000000000000004
77,78000,96.375,3.5000000000000004
78,79000,96.375,3.5000000000000004
79,80000,96.375,3.5000000000000004
80,81000,96.375,3.5000000000000004
81,82000,96.375,3.5000000000000004
82,83000,96.375,3.5000000000000004
83,84000,96.35000000000001,3.5000000000000004
84,85000,96.35000000000001,3.5000000000000004
85,86000,96.35000000000001,3.5000000000000004
86,87000,96.35000000000001,3.5000000000000004
87,88000,96.35000000000001,3.5000000000000004
88,89000,96.325,3.55
89,90000,96.325,3.55
90,91000,96.325,3.55
91,92000,96.275,3.65
92,93000,96.3,3.65
93,94000,96.3,3.65
94,95000,96.3,3.65
95,96000,96.275,3.65
96,97000,96.275,3.65
97,98000,96.275,3.65
98,99000,96.25,3.65
99,100000,96.25,3.65
