,Vocabulary size,Validation accuracy,Validation FPR
0,500,92.2,10.45
1,1000,94.22500000000001,7.7
2,1500,94.89999999999999,6.7
3,2000,95.075,6.4
4,2500,95.575,5.75
5,3000,95.8,5.55
6,3500,96.025,5.1499999999999995
7,4000,96.05,5.1499999999999995
8,4500,96.1,5.050000000000001
9,5000,96.35000000000001,4.8500000000000005
10,5500,96.475,4.65
11,6000,96.6,4.45
12,6500,96.625,4.3999999999999995
13,7000,96.625,4.3999999999999995
14,7500,96.675,4.35
15,8000,96.75,4.25
16,8500,96.75,4.25
17,9000,96.775,4.2
18,9500,96.825,4.1000000000000005
19,10000,96.775,4.2
20,10500,96.8,4.2
