,Iterations,Validation accuracy,Train accuracy
0,1000,95.72500000000001,97.15
1,2000,96.275,97.82499999999999
2,3000,96.42500000000001,98.2125
3,4000,96.475,98.45833333333334
4,5000,96.525,98.65833333333333
5,6000,96.525,98.85000000000001
6,7000,96.6,98.95
7,8000,96.65,99.05833333333334
8,9000,96.65,99.1375
9,10000,96.6,99.19166666666666
10,11000,96.525,99.24166666666666
11,12000,96.525,99.30416666666667
12,13000,96.5,99.3625
13,14000,96.525,99.38333333333334
14,15000,96.525,99.425
15,16000,96.525,99.47916666666666
16,17000,96.5,99.5125
17,18000,96.45,99.54166666666666
18,19000,96.39999999999999,99.55416666666666
19,20000,96.39999999999999,99.56666666666666
20,21000,96.375,99.58749999999999
21,22000,96.375,99.6125
22,23000,96.35000000000001,99.6375
23,24000,96.375,99.65416666666667
24,25000,96.375,99.675
25,26000,96.375,99.68333333333334
26,27000,96.39999999999999,99.7
27,28000,96.39999999999999,99.7
28,29000,96.39999999999999,99.7125
29,30000,96.42500000000001,99.72916666666667
30,31000,96.42500000000001,99.73333333333333
31,32000,96.42500000000001,99.74166666666666
32,33000,96.42500000000001,99.74166666666666
33,34000,96.42500000000001,99.75
34,35000,96.42500000000001,99.75
35,36000,96.42500000000001,99.75833333333334
36,37000,96.39999999999999,99.76666666666667
37,38000,96.39999999999999,99.76666666666667
38,39000,96.39999999999999,99.77083333333333
39,40000,96.39999999999999,99.77083333333333
40,41000,96.39999999999999,99.77083333333333
41,42000,96.39999999999999,99.77083333333333
42,43000,96.39999999999999,99.775
43,44000,96.39999999999999,99.775
44,45000,96.42500000000001,99.78333333333333
45,46000,96.42500000000001,99.78333333333333
46,47000,96.42500000000001,99.78333333333333
47,48000,96.39999999999999,99.7875
48,49000,96.42500000000001,99.8
49,50000,96.42500000000001,99.80416666666667
50,51000,96.42500000000001,99.8125
51,52000,96.42500000000001,99.8125
52,53000,96.42500000000001,99.81666666666666
53,54000,96.42500000000001,99.81666666666666
54,55000,96.39999999999999,99.82083333333334
55,56000,96.39999999999999,99.825
56,57000,96.375,99.82916666666667
57,58000,96.375,99.8375
58,59000,96.375,99.8375
59,60000,96.375,99.84166666666667
60,61000,96.375,99.84583333333333
61,62000,96.375,99.84583333333333
62,63000,96.375,99.84583333333333
63,64000,96.375,99.85000000000001
64,65000,96.39999999999999,99.85416666666667
65,66000,96.42500000000001,99.85416666666667
66,67000,96.42500000000001,99.85833333333333
67,68000,96.42500000000001,99.85833333333333
68,69000,96.39999999999999,99.85833333333333
69,70000,96.39999999999999,99.85833333333333
70,71000,96.39999999999999,99.85833333333333
71,72000,96.375,99.85833333333333
72,73000,96.39999999999999,99.85833333333333
73,74000,96.39999999999999,99.85833333333333
74,75000,96.375,99.85833333333333
75,76000,96.375,99.8625
76,77000,96.375,99.8625
77,78000,96.39999999999999,99.8625
78,79000,96.375,99.8625
79,80000,96.35000000000001,99.8625
80,81000,96.35000000000001,99.8625
81,82000,96.35000000000001,99.8625
82,83000,96.35000000000001,99.86666666666667
83,84000,96.35000000000001,99.86666666666667
84,85000,96.35000000000001,99.86666666666667
85,86000,96.35000000000001,99.86666666666667
86,87000,96.375,99.86666666666667
87,88000,96.375,99.86666666666667
88,89000,96.375,99.86666666666667
89,90000,96.375,99.87083333333334
90,91000,96.375,99.875
91,92000,96.375,99.875
92,93000,96.35000000000001,99.875
93,94000,96.35000000000001,99.875
94,95000,96.35000000000001,99.875
95,96000,96.35000000000001,99.87916666666666
96,97000,96.375,99.87916666666666
97,98000,96.375,99.87916666666666
98,99000,96.375,99.87916666666666
99,100000,96.375,99.87916666666666
