,Vocabulary size,Train accuracy,Validation accuracy,Validation precision
0,500,87.38333333333334,86.45,90.1431718061674
1,1000,91.20416666666667,90.525,91.71384457025219
2,1500,92.87916666666666,91.57499999999999,92.31552162849873
3,2000,93.86666666666666,92.9,93.42105263157895
4,2500,94.35833333333333,93.2,93.76899696048632
5,3000,94.9125,93.65,94.26977687626776
6,3500,95.34166666666667,94.025,94.49216776149571
7,4000,95.65416666666667,94.1,94.41087613293051
8,4500,95.87916666666668,94.325,94.5253641386238
9,5000,96.09583333333333,94.575,94.73156046161564
10,5500,96.28750000000001,94.8,94.93480441323972
11,6000,96.39583333333334,94.95,95.04008016032064
12,6500,96.54166666666667,95.1,95.1
13,7000,96.6125,95.075,95.00748876684972
14,7500,96.70416666666667,95.025,94.95756365451822
15,8000,96.74166666666667,95.025,94.95756365451822
16,8500,96.8375,95.125,94.96761335326357
17,9000,96.90416666666667,95.175,94.9726231956197
18,9500,96.94166666666668,95.25,95.11465603190429
19,10000,97.0,95.275,95.20718921617573
20,10500,97.075,95.375,95.39769884942471
